"Selected Filters: All States | FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)"
""
"Total Funding: $1,316,374,135"
"Number of Grants: 1,387"

"Grantee Name","Grant Number","Program Name","City","State","ZIP Code","County","Congressional District","Award Fiscal Year","Award Funding"
"Bullhook Community Health Center, Inc.","H8DCS35869","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Havre","MT","59501-3649","Hill","MT-00","2020","$588,020"
"Butler County Community Health Consortium, Inc.","H8DCS36683","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hamilton","OH","45011-6078","Butler","OH-08","2020","$1,075,625"
"Butte-Silver Bow Primary Health Care Clinic, Inc.","H8DCS35854","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Butte","MT","59701-2870","Silver Bow","MT-00","2020","$758,450"
"C A S S E Dental Health Institute","H8DCS35805","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Shreveport","LA","71118-3351","Caddo","LA-04","2020","$623,315"
"C W Williams Community Health Center Inc, The","H8DCS36514","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Charlotte","NC","28208-5631","Mecklenburg","NC-12","2020","$700,025"
"Cabarrus Community Health Centers, Inc.","H8DCS36480","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Concord","NC","28025-4615","Cabarrus","NC-08","2020","$778,520"
"Cabin Creek Health Systems, Inc.","H8DCS35844","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Dawes","WV","25054-7700","Kanawha","WV-02","2020","$835,325"
"Cabun Rural Health Services, Inc.","H8DCS35405","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hampton","AR","71744-8615","Calhoun","AR-04","2020","$662,465"
"Cactus Health Services, Inc.","H8DCS36429","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fort Stockton","TX","79735-5626","Pecos","TX-23","2020","$559,760"
"Cahaba Medical Care Foundation","H8DCS35398","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Centreville","AL","35042-2935","Bibb","AL-06","2020","$893,315"
"Camarena Health","H8DCS35578","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Madera","CA","93638-3631","Madera","CA-16","2020","$1,280,765"
"Camcare Health Corporation","H8DCS36483","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Camden","NJ","08103-1539","Camden","NJ-01","2020","$1,309,625"
"Camden-On-Gauley Medical Center, Inc.","H8DCS35881","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Camden On Gauley","WV","26208-7713","Webster","WV-03","2020","$700,760"
"Camillus Health Concern Inc","H8DCS35996","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Miami","FL","33128-1616","Miami-Dade","FL-24","2020","$682,970"
"Camino Health Center","H8DCS35791","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Juan Capistrano","CA","92675-1304","Orange","CA-49","2020","$883,190"
"Camuy Health Services Inc","H8DCS36517","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Camuy","PR","00627-2630","Camuy","PR-98","2020","$771,020"
"Canyonlands Community Health Care","H8DCS35446","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Page","AZ","86040-7501","Coconino","AZ-01","2020","$891,080"
"Capitol City Family Health Center Inc","H8DCS35823","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Baton Rouge","LA","70806-3757","East Baton Rouge","LA-06","2020","$750,680"
"Capstone Rural Health Center, The","H8DCS35412","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Parrish","AL","35580-3847","Walker","AL-04","2020","$652,160"
"Carbon Medical Service Association Incorporated","H8DCS35870","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Sunnyside","UT","84539-7702","Carbon","UT-03","2020","$618,575"
"Care Alliance","H8DCS36686","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Cleveland","OH","44114-2004","Cuyahoga","OH-11","2020","$893,420"
"Care For The Homeless","H8DCS36600","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New York","NY","10016-5337","New York","NY-12","2020","$667,730"
"Care Net Of Lancaster","H8DCS36277","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lancaster","SC","29720-6261","Lancaster","SC-05","2020","$596,795"
"Care Resource Community Health Centers Incorporated","H8DCS36013","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Miami","FL","33137-3851","Miami-Dade","FL-24","2020","$1,143,005"
"Care South Carolina Inc","H8DCS36255","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hartsville","SC","29550-4211","Darlington","SC-07","2020","$1,323,740"
"Careconnect Health, Inc.","H8DCS36237","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Richland","GA","31825-6012","Stewart","GA-02","2020","$2,051,915"
"Cares Community Health","H8DCS35711","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Sacramento","CA","95811-5216","Sacramento","CA-06","2020","$731,075"
"Carestl Health","H8DCS35932","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Saint Louis","MO","63112-4265","St. Louis City","MO-01","2020","$928,445"
"Caring Hands Healthcare Centers Inc","H8DCS35569","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Mcalester","OK","74501-7606","Pittsburg","OK-02","2020","$605,885"
"Caring Health Center, Inc.","H8DCS35453","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Springfield","MA","01103-2114","Hampden","MA-01","2020","$845,570"
"Carolina Family Health Centers Inc","H8DCS36491","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Wilson","NC","27893-4105","Wilson","NC-01","2020","$1,084,655"
"Carolina Health Centers, Inc.","H8DCS36278","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Greenwood","SC","29646-2757","Greenwood","SC-03","2020","$1,091,555"
"Cass, County Of","H8DCS36252","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Virginia","IL","62691-1571","Cass","IL-18","2020","$583,430"
"Caswell Family Medical Center Inc., The","H8DCS36411","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Yanceyville","NC","27379-8304","Caswell","NC-06","2020","$573,605"
"Catahoula Parish Hospital District # 2","H8DCS35821","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Sicily Island","LA","71368-4807","Catahoula","LA-05","2020","$721,880"
"Cedar-Riverside Peoples Center","H8DCS36247","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Minneapolis","MN","55454-4400","Hennepin","MN-05","2020","$652,985"
"Center For Family And Child Enrichment, Inc., The","H8DCS36006","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Miami Gardens","FL","33056-4838","Miami-Dade","FL-24","2020","$569,315"
"Center For Family Health & Education, Inc.","H8DCS35779","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Panorama City","CA","91402-2401","Los Angeles","CA-29","2020","$725,795"
"Center For Family Health, Inc.","H8DCS35489","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Jackson","MI","49201-1266","Jackson","MI-07","2020","$1,039,385"
"Center For Pan Asian Community Services, Inc.","H8DCS36194","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Atlanta","GA","30341-2909","DeKalb","GA-06","2020","$701,255"
"Center Street Community Clinic, Inc.","H8DCS36670","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Marion","OH","43302-3704","Marion","OH-04","2020","$623,900"
"Centerplace Health, Inc.","H8DCS36095","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Sarasota","FL","34237-6102","Sarasota","FL-16","2020","$655,400"
"Centerville Clinic Inc","H8DCS36620","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fredericktown","PA","15333-2114","Washington","PA-14","2020","$1,222,760"
"Central City Community Health Center, Inc.","H8DCS35733","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Rosemead","CA","91770-4394","Los Angeles","CA-27","2020","$1,183,820"
"Central City Concern","H8DCS35700","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Portland","OR","97209-3609","Multnomah","OR-03","2020","$663,530"
"Central Counties Health Centers, Inc.","H8DCS36274","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Springfield","IL","62703-1944","Sangamon","IL-13","2020","$841,445"
"Central Florida Family Health Center, Inc.","H8DCS36018","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Sanford","FL","32771-5003","Seminole","FL-07","2020","$1,838,630"
"Central Florida Health Care, Inc.","H8DCS35988","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Winter Haven","FL","33881-4672","Polk","FL-09","2020","$1,574,555"
"Central Mississippi Civic Improvement Association, Inc.","H8DCS36193","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Jackson","MS","39213-4454","Hinds","MS-02","2020","$1,794,665"
"Central Mississippi Health Services, Inc.","H8DCS36279","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Jackson","MS","39204-2841","Hinds","MS-02","2020","$628,445"
"Central Neighborhood Health Foundation","H8DCS35708","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Los Angeles","CA","90011-5527","Los Angeles","CA-40","2020","$813,605"
"Central North Alabama Health Services, Inc.","H8DCS35417","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Huntsville","AL","35801-4739","Madison","AL-05","2020","$1,025,120"
"Central Oklahoma Family Medical Center, Inc.","H8DCS35549","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Konawa","OK","74849-1415","Seminole","OK-05","2020","$692,000"
"Central Virginia Health Services, Inc.","H8DCS36737","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New Canton","VA","23123-2234","Buckingham","VA-05","2020","$1,563,440"
"Centro De Salud De La Comunidad De San Ysidro, Inc.","H8DCS35758","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Diego","CA","92173-1345","San Diego","CA-51","2020","$2,601,080"
"Centro De Salud De Lares Inc","H8DCS36531","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lares","PR","00669","Lares","PR-98","2020","$895,790"
"Centro De Salud Familiar Dr. Julio Palmieri Ferri, Inc.","H8DCS36542","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Arroyo","PR","00714","Arroyo","PR-98","2020","$749,615"
"Centro De Salud Familiar La Fe, Inc","H8DCS36456","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","El Paso","TX","79902-5529","El Paso","TX-16","2020","$879,005"
"Centro De Servicios Primarios De Salud De Patillas Inc","H8DCS36540","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Patillas","PR","00723","Patillas","PR-98","2020","$861,200"
"Centro De Servicios Primarios De Salud Inc","H8DCS36537","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Florida","PR","00650-1912","Florida","PR-98","2020","$719,525"
"Centro San Vicente","H8DCS36432","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","El Paso","TX","79915-4705","El Paso","TX-16","2020","$1,021,475"
"Chambers County Public Hospital District #1","H8DCS36468","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Anahuac","TX","77514","Chambers","TX-36","2020","$730,115"
"Change, Incorporated","H8DCS35877","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Weirton","WV","26062-4637","Hancock","WV-01","2020","$786,950"
"Charles B. Wang Community Health Center, Inc.","H8DCS36605","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New York","NY","10013-3599","New York","NY-10","2020","$1,669,415"
"Charles Drew Health Center, Inc.","H8DCS35904","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Omaha","NE","68111-3863","Douglas","NE-02","2020","$886,475"
"Charles River Community Health, Inc.","H8DCS35484","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Boston","MA","02135-1007","Suffolk","MA-07","2020","$891,980"
"Charlotte Community Health Clinic, Inc","H8DCS36351","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Charlotte","NC","28262-8702","Mecklenburg","NC-12","2020","$729,440"
"Charter Oak Health Center, Inc","H8DCS35963","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hartford","CT","06106-1541","Hartford","CT-01","2020","$908,390"
"Chase Brexton Health Services, Inc","H8DCS36298","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Baltimore","MD","21201-5505","Baltimore City","MD-07","2020","$1,415,780"
"Chattanooga Hamilton County Hospital Authority","H8DCS36125","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chattanooga","TN","37410-1401","Hamilton","TN-03","2020","$891,050"
"Chautauqua Center, The","H8DCS36562","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Dunkirk","NY","14048-2137","Chautauqua","NY-23","2020","$646,910"
"Cherokee Health Systems","H8DCS36157","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Knoxville","TN","37921-5718","Knox","TN-02","2020","$1,965,725"
"Cherry Street Services, Inc.","H8DCS35488","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Grand Rapids","MI","49503-4526","Kent","MI-03","2020","$1,908,335"
"Chespenn Health Services, Inc.","H8DCS36635","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Eddystone","PA","19022-1377","Delaware","PA-05","2020","$837,275"
"Chestnut Health Systems, Inc.","H8DCS36200","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bloomington","IL","61701-1429","McLean","IL-13","2020","$569,225"
"Cheyenne Health And Wellness Center","H8DCS35861","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Cheyenne","WY","82007-2559","Laramie","WY-00","2020","$576,080"
"Chicago Family Health Center, Inc.","H8DCS36250","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chicago","IL","60617-4225","Cook","IL-02","2020","$1,236,695"
"Children'S Clinic 'Serving Children And Their Families' The","H8DCS35594","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Long Beach","CA","90806-2784","Los Angeles","CA-47","2020","$1,285,265"
"Children'S Hospital & Research Center At Oakland","H8DCS35537","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Oakland","CA","94609-1809","Alameda","CA-13","2020","$552,830"
